measured,gold_standard
68.98697689627616,173.12172180773365
74.53432327818332,215.5557545058951
71.58292578696465,227.28562835828558
75.30007090388578,62.30523731295753
68.68163536548312,105.98546798504466
64.48277234667952,206.39460502017985
71.22745844924209,193.6792050458636
70.87510551097812,250.7865478246743
65.11066505330623,211.29913487719455
69.17977282401507,136.45429142788785
64.26198580063972,216.41333403530555
73.20150142444918,162.4757318410805
70.7582434386557,188.51926217312302
72.70063714405477,174.54672509158178
85.64016612750169,217.4282477801818
73.4185496915487,128.90658379058573
74.49519252890082,143.98693269516235
75.76298814014915,88.78484724076647
71.9311452467484,307.1959534446449
69.67122897232387,150.05458094195873
77.01671099570859,156.80673677362634
77.77186851418251,142.25377253453001
58.04301989785241,167.77743408251186
71.81366331642144,178.0702488166088
70.92510565444118,230.72617191232027
69.79960449976369,208.79542922608815
78.83017306326431,216.4122276654663
69.94581828154082,170.44562522571402
76.93597370121613,196.33534000861005
69.90128512448038,260.8750267885299
70.5765883371242,198.85455936639673
76.25649062067858,215.2811197695641
68.92273291111451,98.50671031221188
71.80357577913219,225.82460545170136
67.09524201706057,212.88949811688414
68.18474295722714,264.3769936209262
76.22141793374698,62.36153671101161
75.53326406542092,201.09876272764888
66.89004226922283,193.56565279163792
66.69033613925097,203.8097941214909
85.33860429145759,168.04677657271654
69.3926385878678,209.9075861624036
68.25000744524336,234.43990490223626
75.16459657734976,201.51254683862066
68.72546448152092,184.56082391511075
70.77720434611399,188.55384893419316
77.06674627717688,179.75974608737
77.59178690228582,201.1216591762111
71.61604408899538,163.19825846340353
79.3078729129711,99.49925476299988
71.88159076218477,266.79919343157513
71.40080046117498,111.08455079108288
72.56884224829315,192.95039618985905
71.06534495673108,133.56951816202974
75.23250258309909,184.43485588920834
74.01144132201328,150.44727051618827
68.72542851720623,196.50297881312136
73.49933983390859,156.56000044080665
69.89129511650108,133.72786448729053
69.71156425388806,213.9778044578765
71.9026228507538,265.18412006156626
77.68964627722437,215.7428364339229
73.98031873013937,203.84168994744448
78.9376638972505,145.70582718103554
80.40866754734012,194.12447641096526
72.4287128520253,220.56587100626706
69.57374618317729,165.64301226846277
68.66321772454542,243.14850334319652
73.99136953224902,196.08916910064116
76.92810774019759,215.76356925208245
80.51285162924611,173.19660550098737
66.06647407382785,173.52629821718793
77.21833219616236,208.99804498221465
77.95876780928371,217.1966080292697
84.79022928108391,215.26613839654345
73.54818383110866,147.00022489738933
72.45592978101847,161.12343216991474
65.02415924069983,196.72718065585792
68.73095956257013,104.89587038522573
67.10442169124151,249.94526593497451
67.57621040284921,213.49211089350334
68.13199846946557,199.65883690015048
64.96609408672043,161.9253855883975
72.17095202431157,238.6125555978835
74.56690265826636,183.9067197688571
76.44574487022221,292.5331679933079
72.16498026285372,217.17333327995954
77.92715861509522,122.94150121928813
77.97807175097029,233.86278246923283
65.06419249095553,171.08859692299635
71.2898566123499,171.41327382519987
66.41128421855778,185.3594960317014
67.76414663754517,190.8922303057459
73.58039935122203,209.99543747564022
72.03545377384964,235.48538544071437
79.98183522447349,220.0504952486524
82.90282473228204,161.08703871943536
74.77039300491087,129.72176782110614
71.71539724268851,156.91937452664308
71.94760535754165,215.24908244788352
